Region,Country,Measure Code,Measure,Currency Code,Amount (Local),Amount USD,Source,Post Date,Details
Central and West Asia,Afghanistan,08B1,08B1 - Asian Development Bank,AFN,3419156798,43450000,"ADB. https://www.adb.org/news/adb-president-afghanistan-president-discuss-covid-19-support-40-million-grant (accessed 14 May 2020). ADB Table A1.2: Sovereign Lending and Asian Development Fund Grant Operations, Table A1.4: Asia Pacific Disaster Response Fund and Technical Assistance, Table A1.5: Country Support under TA 9550-REG. (all accessed 24 July 2020)",7/27/2020,"(i) USD3 million - Country Support under TA 9950-REG: Regional Support to Address the Outbreak of COVID-19 and Potential Outbreaks of Other Communicable Diseases; (ii) May 11, USD40 million Emergency Assistance for COVID-19 Pandemic Response grant to support the construction of 15 hospitals and medical facilities; (iii) June 3, Developing a Disaster Risk Transfer Facility in the Central Asia Regional Economic Cooperation Region (Additional Financing) - USD0.07million; (iv) July 13, Addressing Health Threats in the Central, West, and East Asia Region - USD0.38 million. [update]"
Central and West Asia,Afghanistan,08B2,08B2 - Other,AFN,74308009905,944292181,IMF. https://bit.ly/2Vk0uFb (accessed 19 April 2020); IMF. https://www.imf.org/en/News/Articles/2020/04/29/pr20193-afghanistan-imf-executive-board-approves-disbursement-to-address-the-covid-19; World Bank. https://www.worldbank.org/en/news/press-release/2020/04/02/world-bank-fast-tracks-100-million-covid-19-support-for-afghanistan (both accessed 1 May 2020). WB. https://www.worldbank.org/en/news/press-release/2020/05/07/world-bank-approves-400-million-to-sustain-afghanistans-reform-momentum-mitigate-covid-19-crisis (accessed 14 May 2020). USAID. https://www.usaid.gov/news-information/coronavirus/fact-sheets/update-united-states-continues-lead-global-response-covid-19 (accessed 1 June 2020). World Bank. https://www.worldbank.org/en/news/press-release/2020/07/09/world-bank-200-million-for-afghanistan-to-protect-people-support-businesses-amid-covid-19 (accessed 24 July 2020),7/27/2020,"(i) April 14-Oct 13: IMF Catastrophe Containment And Relief Trust-Grant Assistance For Debt Service Relief, SDR2.4 million (SDR0.729/USD); (ii) April 2, The World Bank approved a USD100.4 million grant for the Afghanistan COVID-19 Emergency Response and Health Systems Preparedness Project to help Afghanistan take effective action to respond to the threat posed by COVID-19 and strengthen its public health preparedness; (iii) The IMF approved Afghanistan’s request for emergency assistance in the amount of SDR161.9 million (approximately USD220 million) under the Rapid Credit Facility; (iv) With the support of the World Bank, other development partners, and humanitarian agencies, the authorities are developing a social relief package-through cash transfers and, if impractical, in kind-to support food security among socially vulnerable households. On April 29, the government started providing free bread to about 2.5 million needy and poor people in Kabul [update]; (v) May 7, USD400 million grant from the World Bank to support the country in managing risks and uncertainties compounded by the COVID-19 crisis; (vi) As of May 26, USD20.6 million from USAID, broken down into: (a) USD7.1 million for health and IDA humanitarian assistance, (b) USD3.1 million in MRA humanitarian assistance for Afghan returnees, (c) USD10 million from redirecting existing resources to support Afghanistan's health response, (d) USD500,000 to procure COVID-19 prevention and control supplies for correctional facilities; (vii) July 9, USD200 million to help Afghanistan mitigate COVID-19 impacts and provide relief to vulnerable people and businesses. USD100 million comes from the International Development Association (IDA), the World Bank Group's fund for the poorest countries, and the balance from the Afghanistan Reconstruction Trust Fund (ARTF), managed by the World Bank on behalf of 34 donors."
Central and West Asia,Afghanistan,9,09 - International Assistance Provided,AFN,,,,7/27/2020,
Central and West Asia,Afghanistan,09A,09A - Swaps,AFN,,,,7/27/2020,
Central and West Asia,Afghanistan,09B,09B - International loans/grants,AFN,,,,7/27/2020,
Central and West Asia,Afghanistan,10,10 - No breakdown,AFN,,,IMF. https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19#U (accessed 26 April 2020).,7/27/2020,"No amount/estimate: April 22, The government has already allocated AFN8 billion (0.5% of GDP) for emergency pandemic response. The authorities plan to spend about 2% of GDP for critical pandemic-related spending during the year (See Measure 5 under health)."
Central and West Asia,Afghanistan,11,11 - Other Economic Measures,AFN,,,IMF. https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19#U (accessed 24 July 2020),7/27/2020,"(i) The government has taken steps to replace wheat imports lost due to border closures with purchases from Central Asia; (ii) On July 15, trade with India through Wagah border post in Pakistan resumed. [update]"
Central and West Asia,Afghanistan,12,12 - Non-Economic Measures,AFN,,,IMF. https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19#U (accessed 9 July 2020),7/27/2020,"(i) Screening at ports of entry, quarantine for infected people, and closure of public places for gathering; (ii) Quarantine for infected people; (iii) Closure of public places for gathering; (iv) Social distancing measures, including a three-week lockdown of Kabul (March 28) and Ghazni (April 1) and restricting daily movements to those deemed essentiall (v) Extended the border closures until April 9; (vi) Social distancing measures have included 20 provinces, including Kabul and some other cities, instituting lockdown measures, extended for two weeks on April 12; (vii) Social distancing measures have been extended for 3 weeks on April 17; (viii) Both Houses of Afghanistan’s parliament were put on lockdown on April 29 until end of the national lockdown; (ix) The government also released over 5,300 prisoners to reduce the risk of mass infections in penitentiaries; (x) Schools and universities will remain closed until September; (xi) By end-June, the authorities announced the resumption of domestic and international flights and exports to Europe via the air corridors."
Other Economies,Arab Republic of Egypt,1,01 - Liquidity Support,EGP,,,,7/27/2020,
Other Economies,Arab Republic of Egypt,01A,01A - Short-term lending,EGP,,,IMF. https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19 (accessed 7 May 2020).,7/27/2020,(i) No amount/estimate: Short-term loans of up to a year were made available to allow small projects harmed by COVID-19 (especially in industrial and labor-intensive sectors) to pay for their operational expenses until the crisis is over.
Other Economies,Arab Republic of Egypt,01B,01B - Support policies for short-term lending,EGP,,,,7/27/2020,
Other Economies,Arab Republic of Egypt,01C,01C - Forex operations,EGP,,,,7/27/2020,
Other Economies,Arab Republic of Egypt,2,02 - Credit creation,EGP,1.06E+11,6745159653,,7/27/2020,
Other Economies,Arab Republic of Egypt,02A,02A - Financial sector lending/funding,EGP,,,,7/27/2020,
Other Economies,Arab Republic of Egypt,02B,02B - Support policies for long-term lending,EGP,,,IMF. https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19 (accessed 24 June 2020).,7/27/2020,"No amount/estimate: (i) March 20, The central bank has reduced the policy rate by 300 bps to 9.25%; (ii) March 24, preferential interest rate on loans to tourism has been reduced from 10% to 5%, for SMEs. As of June 24, this measure has already been reversed; (iii) March 24, preferential interest rate on loans to industry and housing for low-income and middle-class families has been reduced from 10% to 8%. As of June 24, the new rate now applies to tourism, industry, agriculture and construction sectors as well. (iv) regulations issued last year requiring banks to obtain detailed information of borrowers have been relaxed; (v) suspension of credit score blacklists for irregular clients and waiver of court cases for defaulted customers have been announced."
Other Economies,Arab Republic of Egypt,02C,02C - Loan guarantees,EGP,1.06E+11,6745159653,Central Bank of Egypt. https://www.cbe.org.eg/_layouts/download.aspx?SourceUrl=%2FHighlights%2520Documents%2FCircular%2520dated%252016%2520June%25202020%2520regarding%2520tourism%2520sector%2520initiative%2520financing%2520payroll%2520guaranteed%2520by%2520the%2520Ministry%2520of%2520Finance.pdf (accessed 19 June 2020). Yale. https://som.yale.edu/faculty-research-centers/centers-initiatives/program-on-financial-stability/covid-19-crisis (accessed 19 June 2020). IMF. https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19 (accessed 26 May 2020).,7/27/2020,"(i) EGP3 billion of loan guarantees by the government has been announced for the tourism industry soft loans; (ii) EGP100 billion of loan guarantees from the Central Bank to cover lending at preferential rates to the manufacturing, agriculture and contracting industries; (iii) June 16, EGP3 billion in loan guarantees to the Tourism sector."
Other Economies,Arab Republic of Egypt,3,03 - Direct long-term lending,EGP,1E+11,6363358163,,7/27/2020,
Other Economies,Arab Republic of Egypt,03A,03A - Long-term lending,EGP,1E+11,6363358163,Central Bank of Egypt. https://www.cbe.org.eg/en/Pages/HighlightsPages/Circular-dated-18-June-2020-regarding-including-medium-start-ups-and-small-companies-related-to-large-groups-in-the-8-initi.aspx (accessed 19 June 2020). IMF. https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19 (accessed 23 July 2020).,7/27/2020,"(i) No amount/estimate: Loans with a two-year grace period will be made available to aviation sector firms; (ii) No amount/estimate: Central Bank introduced credit lines that can be paid over a maximum of two years with a six-month grace period, specifically for tourism enterprises to facilitate paying of salaries and financial dues for suppliers; (iii) June 18, EGP100 billion in funding accessible to all SMEs in the industrial, agricultural, and contracting sectors; (iv) No amount/estimate: July 23, A new consumer spending initiative has been announced by the government, as part of which, two-year low-interest installments will be made available to encourage spending. This is meant to complement the initiative on the same date in Measure 5B. [update]"
Other Economies,Arab Republic of Egypt,03B,03B - Forbearance,EGP,,,World Bank. https://datacatalog.worldbank.org/dataset/covid-19-finance-sector-related-policy-responses (accessed 7 May 2020); IMF. https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19 (accessed 7 May 2020).,7/27/2020,"No amount/estimate: (i) March 24, The government also introduced a six-month extension for credit repayments targeting all individuals and businesses, as well as the waiving of late fines for such repayments; (ii) March 27, Mortgage financing companies, factoring and leasing companies mandated to give a six-month grace period to any client who asks; (iii) new debt relief initiative for individuals at risk of default has also been announced, that will waive marginal interest on debt under EGP1 million if customers make a 50% payment; (iv) Microlenders have been instructed to also consider delays on a case-by-case basis, of up to 50% of the value of monthly installments for struggling clients."
Other Economies,Arab Republic of Egypt,4,04 - Equity support,EGP,20000000000,1272671633,OECD. https://www.oecd.org/coronavirus/en/ (accessed 7 May 2020); IMF. https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19 (accessed 7 May 2020).,7/27/2020,EGP20 billion stock-purchase program has been launched by the Central Bank.
Other Economies,Arab Republic of Egypt,5,05 - Government support to income/revenue,EGP,1.0748E+11,6839337353,OECD. https://www.oecd.org/coronavirus/en/ (accessed 7 May 2020); IMF. https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19 (accessed 7 May 2020).,7/27/2020,"Multiple packages have been announced by the government to mitigate the economic impact of COVID-19, totalling over EGP102 billion: (i) March 22, EGP100 billion (1.8% of GDP) or USD6.13 billion was announced as the total of stimulus policies to be enacted by the government to mitigate the economic impact of COVID-19; (ii) March 24, EGP1 billion additional funding for health services; (iii) April 2, additional USD7.9 million disgnated for emergency respone activities related to the outbreak; (iv) EGP1 billion in arrears will be paid out to exporters. More data on the breakdown of these packages below."
Other Economies,Arab Republic of Egypt,05A,05A - Health,EGP,,,OECD. https://www.oecd.org/coronavirus/en/ (accessed 7 May 2020); IMF. https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19 (accessed 7 May 2020).,7/27/2020,"(i) March 22, EGP8 billion has been allocated to support the healthcare sector, targeted at providing urgent and necessary medical supplies, and disbursing bonuses for medical staff working in quarantine hospitals and labs; (ii) March 22, To support medical professionals, including doctors working in university hospitals, a 75% allowance over the wages has been announced; (iii) March 24, EGP1 billion (USD63.5 million) additional funding was announced, specifically for health services and various measures to increase the country’s capacity to absorb the sudden increase of critical patients that the outbreak might bring; (iv) April 2, additional USD7.9 million designated for emergency response activities related to the COVID-19 outbreak."
Other Economies,Arab Republic of Egypt,05B,05B - Non-health,EGP,,,Central Bank of Egypt. https://www.cbe.org.eg/en/Pages/HighlightsPages/Circular-dated-21-June-2020-regarding-extending-the-period-of-exempting-local-transfers-in-EGP-from-all-fees-&-commissions-.aspx (accessed 24 June 2020). Ministry of Petroleum and Mineral Resources. https://www.petroleum.gov.eg/ar-eg/media-center/news/news-pages/Pages/mop_17062020_01.aspx (accessed 19 June 2020). World Bank. https://datacatalog.worldbank.org/dataset/covid-19-finance-sector-related-policy-responses (accessed 7 May 2020); OECD. https://www.oecd.org/coronavirus/en/ (accessed 7 May 2020); IMF. https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19 (accessed 23 July 2020).,7/27/2020,"(i) No amount/estimate: March 22, Pension benefits have been increased by 14%; (ii) No amount/estimate: March 22, Expansion of the targeted cash transfer social programs, Takaful and Karama, are also being extended to reach more families; (iii) No amount/estimate: March 22, A targeted support initiative for irregular workers in most severely hit sectors has been announced, which will entail EGP500 in monthly grants for 3 months; (iv) No amount/estimate: March 22, Energy costs have been lowered for the entire industrial sector; (v) No amount/estimate: March 22, Real estate tax relief has been provided for industrial and tourism sectors, (vi) No amount/estimate: March 22, Subsidy pay-out for exporters has been stepped up, and discount on fuel price has been announced for the aviation sector; (vii) March 22, EGP50 billion of the EGP100 billion stimulus has been announced for the tourism sector, which contributes close to 12% of Egypt’s GDP, 10% of employment, and almost 4% of GDP in terms of receipts, as of 2019; (viii) No amount/estimate: The moratorium on the tax law on agricultural land has been extended for 2 years; (ix) No amount/estimate: The stamp duty on transactions and tax on dividends have been reduced; (x) No amount/estimate: Capital gains tax has been postponed until further notice; (xii) No amount/estimate: ATM withdrawal fees have been cancelled; (xiii) EGP1 billion in arrears will be paid out by The Export Subsidy Fund in March and April 2020, plus 10% in cash payments to exporters in June 2020; (xiv) No amount/estimate: Three months extension for the payment of property taxes for companies in the industrial and tourism sector; (xv) No amount/estimate: Extension of the individuals’ annual tax return filing deadline to 16 April instead of 31 March, and exemption of the tax returns online filing subscription fee for the use of the Egyptian Tax Authority online filing portal; (xvi) EGP50 million allocated by the Ministry of Workforce for irregular workers, including women, who lost their job due to the coronavirus; (xvii) June 17, EGP5.3 billion in exemptions to natural gas consumers from penalty fine for late payments; (xviii) No amount/estimate: June 21, Extended until September 15, 2020, the exemption from all fees & commissions for local transfers in EGP; (xix) No amount/estimate: A Corona tax of 1% on all public and private sector salaries and 0.5% on state pensions have been imposed, the proceeds of which are earmarked for sectors and SMEs most affected by the pandemic; (xx) No amount/estimate: July 23, the new consumer spending initiative will also include discounts on selected consumer goods, the details of which are yet to be announced. [update]"
Other Economies,Arab Republic of Egypt,6,06 - Budget reallocation,EGP,,,,7/27/2020,
Other Economies,Arab Republic of Egypt,7,07 - Central bank financing government,EGP,,,,7/27/2020,
Other Economies,Arab Republic of Egypt,07A,07A - Direct lending & reserve drawdown,EGP,,,,7/27/2020,
Other Economies,Arab Republic of Egypt,07B,07B - Secondary purchase: government securities,EGP,,,,7/27/2020,
Other Economies,Arab Republic of Egypt,8,08 - International Assistance Received,EGP,1.36395E+11,8679293805,,7/27/2020,
Other Economies,Arab Republic of Egypt,08A,08A - Swaps,EGP,,,,7/27/2020,
Other Economies,Arab Republic of Egypt,08B,08B - International loans/grants,EGP,1.36395E+11,8679293805,,7/27/2020,
Other Economies,Arab Republic of Egypt,08B1,08B1 - Asian Development Bank,EGP,,,,7/27/2020,
Other Economies,Arab Republic of Egypt,08B2,08B2 - Other,EGP,1.36395E+11,8679293805,"African Development Bank Group. https://www.afdb.org/en/news-and-events/press-releases/egypt-african-development-bank-approves-225-million-euros-budget-support-loan-electricity-sector-bolster-economic-resilience-and-sustainability-amid-covid-19-36237 (accessed 19 June 2020), https://www.afdb.org/en/news-and-events/press-releases/egypt-african-development-bank-approves-emergency-relief-aid-tackle-food-insecurity-vulnerable-workers-whose-livelihoods-are-impacted-covid-19-35832 (accessed 28 May 2020). World Bank. https://www.worldbank.org/en/news/press-release/2020/05/17/egypt-world-bank-provides-us-50-million-in-support-of-coronavirus-emergency-response-under-new-fast-track-facility (accessed 21 May 2020). World Bank. https://www.worldbank.org/en/news/press-release/2020/06/16/egypt-world-bank-provides-us-400-million-in-support-of-universal-health-insurance-system#:~:text=WASHINGTON%20DC%2C%20June%2016%2C%202020,health%20outcomes%20of%20its%20citizens. (accessed 18 June 2020) https://www.worldbank.org/en/news/press-release/2020/04/02/egypt-world-bank-provides-us79-million-in-support-of-coronavirus-covid-19-emergency-response (accessed 7 May 2020). IMF. https://www.imf.org/en/News/Articles/2020/06/05/pr20236-egypt-imf-reaches-staff-level-agreement-on-12-month-us-billion-stand-by-arrangement (accessed 11 June 2020), https://www.imf.org/en/News/Articles/2020/06/26/pr20248-egypt-imf-executive-board-approves-12-month-us-5-2billion-stand-by-arrangement (accessed 09 July 2020).",7/27/2020,"(i) April 2, USD7.9 million funds from the World Bank through activating the Contingency Emergency Response Component (CERC) under the “Transforming Egypt’s Healthcare System Project”, designated for emergency response activities related to the COVID-19 outbreak in Egypt. This measure is reflected in 5A; (ii) May 11, USD2.772 billion in emergency support from the International Monetary Fund to address the COVID-19 Pandemic; (iii) May 17, USD50 million in World Bank aid for Egypt as an emergency response under the new Fast Track COVID-19 Facility; (iv) May 27, USD0.5 million emergency assistance grant from the African Development Bank Group to Egypt to provide food relief, and to contribute to restoring the livelihood of vulnerable populations severely affected by the pandemic; (v) June 5, USD5.2 billion Stand-By Arrangement were agreed upon by Egyptian Authorities and the International Monetary Fund, aiming to alleviate the economic impact of the COVID-19 pandemic, helping maintain macroeconomic stability, strengthen the social safety net, and support reforms to spur private-sector-led growth and job creation. On June 26, this was approved by IMF's Executive Board; (vi) June 16, USD400 million provided by the World Bank as support for the Universal Health Insurance System, to protect the most vulnerable from high health expenses due to the pandemic; (vii) June 17, Approved a EUR225 million loan to finance Egypt’s Electricity and Green Growth Support Program (EGGSP). The funding will help meet the Government of Egypt’s financing requirements in the light of the COVID-19 pandemic, and support a sound electricity infrastructure base."
Other Economies,Arab Republic of Egypt,9,09 - International Assistance Provided,EGP,,,,7/27/2020,
Other Economies,Arab Republic of Egypt,09A,09A - Swaps,EGP,,,,7/27/2020,
Other Economies,Arab Republic of Egypt,09B,09B - International loans/grants,EGP,,,,7/27/2020,
Other Economies,Arab Republic of Egypt,10,10 - No breakdown,EGP,,,,7/27/2020,
Other Economies,Arab Republic of Egypt,11,11 - Other Economic Measures,EGP,,,World Bank. https://datacatalog.worldbank.org/dataset/covid-19-finance-sector-related-policy-responses (accessed 7 May 2020); OECD. https://www.oecd.org/coronavirus/en/ (accessed 7 May 2020); IMF. https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19 (accessed 7 May 2020).,7/27/2020,"No amount/estimate: (i) March 20, The limit for electronic payments via mobile phones has been raised to EGP30,000/day and EGP100,000/month for individuals, and to EGP40,000/day and EGP200,000/per week for corporations; (ii) March 29, The central bank set a daily limit on all ATM disbursement per card to be EGP5,000, and limits to cash withdrawal and deposits at a bank branch to be EGP10,000 per individual, and EGP50,000 per corporate; (iii) The cost of transactions in the EGX will be reduced from 0.15% to 0.125% and from 0.15% to 0.05% for non-residents and Egyptian residents, respectively, and all spot transactions on EGX will be exempt from stamp duty; (iv) The National Bank of Egypt and Bank Misr announced a one-year deposit program with a 15% interest rate."
Other Economies,Arab Republic of Egypt,12,12 - Non-Economic Measures,EGP,,,IMF. https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19 (accessed 3 July 2020).,7/27/2020,"(i) April 28, A Presidential decree published in the Official Gazette declared the state of emergency across the country for three months; (ii) The authorities have taken a host of precautionary measures to improve testing as well as to limit the community spread of the virus, including (a) setting up testing centers, (b) imposing a nighttime curfew, (c) temporarily closing places of worship, (d) temporarily halting all air travel, (e) encouraging civil servants to work from home in non-essential sectors, (f) closing all malls, gyms, sporting clubs, in-dining restaurants and cafes; (iii) Authorities have also suspended the export of all types of legumes for a period of 3 months and plan to start increasing strategic food reserves to meet domestic deman; (iv) Egypt’s Health Ministry released a 3-stage plan outlining required procedures in preparation for the gradual easing of restrictions within the country; (v) Starting July 2020, there will be a gradual re-opening of the economy – air travel will resume, restaurants and cafes will open with 25 percent capacity, stores will close at 9 pm while restaurants and cafes will close at 10 pm, public parks and beaches will remain closed until further notice, public transportation will operate between 4 am and midnight, places of worship will be open for daily prayers but main prayers like Friday prayers and masses will not be allowed, cinemas, theaters, and entertainment venues will operate with 25 percent capacity."
Other Economies,Argentina,1,01 - Liquidity Support,ARS,3.43E+11,5466135458,,7/27/2020,
Other Economies,Argentina,01A,01A - Short-term lending,ARS,3.43E+11,5466135458,Yale. https://som.yale.edu/faculty-research-centers/centers-initiatives/program-on-financial-stability/covid-19-crisis (accessed15 May 2020).,7/27/2020,"(i) ARS1 billion working capital lines for SME through Bank of Investment and Foreign Trade (BICE) with a guarantee from the Reciprocal Guarantee Societies (SGR), and a term of up to 12 months; (ii) Mandatory credit lines through the Central Bank (ARS320 billion); (iii) Established a credit line for MSMEs, PyME Plus line, that do not have bank credit at a subsidized rate of 24%. The Central Bank authorized a special line for ARS22 billion with minimum requirements so that they can take their first credit and for the MSMEs that obtain the FOGAR guarantee, the banks cannot deny it; (iv) June 2, No amount/estimate: launched a special line of credit for work cooperatives at a subsidized rate of 18%; (v) June 11, No amount/estimate: created the PyMEs Plus program to support microbusinesses and SMEs by providing new lines of credit to eligible applicants."
Other Economies,Argentina,01B,01B - Support policies for short-term lending,ARS,,,BCRA. https://www.bcra.gob.ar/Noticias/Coronavirus-BCRa-medidas-directorio.asp (Accessed 27 April 2020.,7/27/2020,"No amount/estimate: (i) Reduced reserve requirements for financial entities that offered special lines of credit to micro, small and medium-sized enterprises at maximum 24% interest; (ii) the combined divestiture of LELIQ holdings and release of reserve requirements could generate credit volumes more than 50% of current bank financing."
Other Economies,Argentina,01C,01C - Forex operations,ARS,,,,7/27/2020,See (i) in Measure 11.
Other Economies,Argentina,2,02 - Credit creation,ARS,31000000000,494023904,,7/27/2020,
Other Economies,Argentina,02A,02A - Financial sector lending/funding,ARS,,,,7/27/2020,
Other Economies,Argentina,02B,02B - Support policies for long-term lending,ARS,,,BCRA. https://www.bcra.gob.ar/Noticias/Coronavirus-BCRA-creditos-mipymes.asp (Accesed 27 April 2020). Yale. https://som.yale.edu/faculty-research-centers/centers-initiatives/program-on-financial-stability/covid-19-crisis (accessed 15 May 2020).,7/27/2020,"No amount/estimate: (i) Provided new incentives for financial entitites to increase their loans to micro, small, and medium-sized enterprises (MiPyMEs) for the payment of salaries, as long as those entities are payment agents of the company that requests it; (ii) the Central Bank also temporarily added 60 days to each category of debtor in arrears; (iii) Developed the Conformed Invoice as a credit instrument to discount in financial entities or the capital market."
Other Economies,Argentina,02C,02C - Loan guarantees,ARS,31000000000,494023904,BCRA. https://www.argentina.gob.ar/coronavirus/medidas-gobierno (Accessed 27 April 2020).,7/27/2020,"No amount/estimate: (i) See (i) in Actions that increase liabilities in Measure 1; (ii) Created a Special Affectation Fund, which will transfer ARS30 billion to the Argentine Guarantee Fund. The guarantees have the objective of facilitiating the repayment of loans for working capital. Eligible parties include companies listed in the small and medium-sized enterprise registry (MiPyMES Registry); (iii) No amount/estimate: FOGAR provides a guarantee that covers 100% of the credit in (iv) of Measure 1A."
Other Economies,Argentina,3,03 - Direct long-term lending,ARS,35120000000,559681275,,7/27/2020,
Other Economies,Argentina,03A,03A - Long-term lending,ARS,35120000000,559681275,Yale. https://som.yale.edu/faculty-research-centers/centers-initiatives/program-on-financial-stability/covid-19-crisis (accessed 15 May 2020).,7/27/2020,"(i) Offered ARS2.25 billion loans at a fixed rate of 12% and non-refundable contributions to companies, small and medium-sized enterprises (SMEs), cooperatives, and research and development instituions that contribute to the COVID-19 health emergency; (ii) Allocated ARS25 billion from the state-owned bank BNA for producers of food, personal hygiene and cleaning, and producers of medical supplie; (iii) Allocated ARS5 billion to support teleworking and ARS2.8 billion to develop infrastructure in industrial parks; (iv) granted a total of ARS70 million Non-Refundable Contributions (ANRs) for a maximum amount for high impact or associative projects; (v) increased the monthly non-remunerative financial to temporary workers in the agricultural and agro-industrial sector; (vi) No amount/estimate: May 11, launched the the Recuperar program, a sector-specific helpline with non-bank financing at an interest rate of 3% per year, for machines, tools or capital goods."
